customer_key,customer_id,first_name,last_name,city,state,zip,loyalty_member,join_date
1,1,Priya,Khan,Coimbatore,India,475713,false,2023-05-15
2,2,Riya,Joshi,Nashik,India,701661,true,2025-11-22
3,3,Aditya,Khan,Ahmedabad,India,124538,false,2025-03-15
4,4,Aditya,Gupta,Patna,India,572525,true,2025-08-18
5,5,Aarav,Gupta,Nashik,India,997421,false,2024-10-04
6,6,Priya,Nair,Kochi,India,647707,true,2025-05-20
7,7,Kabir,Sharma,Pune,India,285340,false,2025-05-13
8,8,Arjun,Gupta,Nashik,India,827270,true,2023-04-06
9,9,Meera,Verma,Kolkata,India,424767,false,2025-01-18
10,10,Aisha,Iyer,Surat,India,626981,true,2024-07-31
11,11,Neha,Verma,Mysuru,India,642335,false,2025-03-06
12,12,Aarav,Sharma,Pune,India,227948,true,2023-07-09
13,13,Ananya,Iyer,Dehradun,India,328576,false,2024-12-10
14,14,Meera,Mehta,Nagpur,India,693128,true,2024-11-14
15,15,Diya,Joshi,Chandigarh,India,582690,false,2024-03-17
16,16,Pooja,Sharma,Chandigarh,India,737147,true,2025-08-09
17,17,Rahul,Sharma,Delhi,India,357426,false,2025-05-04
18,18,Neha,Nair,Amritsar,India,580671,true,2025-12-12
19,19,Arjun,Joshi,Mysuru,India,209751,false,2023-09-04
20,20,Pooja,Mehta,Nagpur,India,468452,true,2023-05-03
21,21,Vivaan,Mehta,Ahmedabad,India,658986,false,2025-06-02
22,22,Riya,Sharma,Hyderabad,India,710490,true,2025-01-21
23,23,Aditya,Verma,Lucknow,India,659042,false,2024-04-08
24,24,Diya,Joshi,Pune,India,501896,true,2023-05-27
25,25,Ananya,Joshi,Siliguri,India,373255,false,2025-07-17
26,26,Sneha,Iyer,Siliguri,India,671542,true,2024-10-02
27,27,Riya,Nair,Ranchi,India,207512,false,2023-09-20
28,28,Vivaan,Sharma,Ranchi,India,475037,true,2025-05-30
29,29,Rahul,Joshi,Hyderabad,India,369544,false,2024-03-28
30,30,Riya,Singh,Pune,India,630583,true,2025-03-26
31,31,Aarav,Khan,Pune,India,768234,false,2023-02-23
32,32,Diya,Singh,Ranchi,India,757917,true,2023-04-14
33,33,Simran,Patel,Chandigarh,India,102869,false,2023-04-09
34,34,Priya,Verma,Delhi,India,138467,true,2025-08-14
35,35,Kavya,Gupta,Ranchi,India,759347,false,2025-03-11
36,36,Aarav,Singh,Ahmedabad,India,381974,true,2024-02-05
37,37,Kavya,Mehta,Amritsar,India,234508,false,2025-11-11
38,38,Ananya,Patel,Surat,India,940477,true,2024-07-16
39,39,Meera,Sharma,Dehradun,India,979611,false,2023-10-11
